# ----------------------------------------
# Informe panorámico
# Cuenta: guillermo.ganalytics
# Propiedad: guillermoaliaga.pe
# ----------------------------------------
#  
# Fecha de inicio: 20260102
# Fecha de finalización: 20260129
Usuarios activos,Usuarios nuevos,Tiempo medio de interaccion,Eventos
5271,5195,11.8,22188
Crisis del básquet peruano: volvamos a la FIBA,5
Criando a mis 10 Siberian Huskies aprendí sobre lealtad y disciplina: Mi Manada y yo - Guillermo Aliaga,4
La necesidad de fortalecer la seguridad jurídica en la inversión minera,2
Pronunciamiento sobre el proceso de ética ante el caso de la congresista Kira Alcarraz,2
"La minería ilegal ya cuesta el 2.7% del PBI y desata un ""escenario de guerra"" en el Perú - Guillermo Aliaga",1
"enero 8, 2026 - Guillermo Aliaga",1

#  
# Fecha de inicio: 20260102
# Fecha de finalización: 20260129
Nombre del evento,Número de eventos
page_view,5699
session_start,4648
first_visit,3832
scroll,1255
user_engagement,696
form_start,402
click,139

# ¿Cuáles son sus eventos clave con mejor rendimiento?
# Fecha de inicio: 20260102
# Fecha de finalización: 20260129
Nombre del evento,Eventos clave


# ¿De dónde procede tu valor medio de 120 días?
# Fecha de inicio: 20260102
# Fecha de finalización: 20260129
Primer grupo de canales principal del usuario (Grupo de canales predeterminado),Valor medio de 120 días


#  
# Fecha de inicio: 20260102
# Fecha de finalización: 20260129
Nombre del artículo,Artículos comprados


# Datos sobre la actividad en sus plataformas
# Fecha de inicio: 20260102
# Fecha de finalización: 20260129
Plataforma,Eventos clave
